"標準地域コード","都道府県","政令市･郡･支庁･振興局等","政令市･郡･支庁･振興局等（ふりがな）","市区町村","市区町村（ふりがな）","廃置分合等施行年月日","改正事由"
"01100","北海道","札幌市","さっぽろし","","","1972-04-01","札幌市(01201)の札幌市(01100)への政令指定都市施行
中央区(01101)、北区(01102)、東区(01103)、白石区(01104)、豊平区(01105)、南区(01106)、西区(01107)の新設"
"01101","北海道","札幌市","さっぽろし","中央区","ちゅうおうく","1972-04-01","札幌市(01201)の札幌市(01100)への政令指定都市施行
中央区(01101)、北区(01102)、東区(01103)、白石区(01104)、豊平区(01105)、南区(01106)、西区(01107)の新設"
"01102","北海道","札幌市","さっぽろし","北区","きたく","1972-04-01","札幌市(01201)の札幌市(01100)への政令指定都市施行
中央区(01101)、北区(01102)、東区(01103)、白石区(01104)、豊平区(01105)、南区(01106)、西区(01107)の新設"
"01103","北海道","札幌市","さっぽろし","東区","ひがしく","1972-04-01","札幌市(01201)の札幌市(01100)への政令指定都市施行
中央区(01101)、北区(01102)、東区(01103)、白石区(01104)、豊平区(01105)、南区(01106)、西区(01107)の新設"
"01104","北海道","札幌市","さっぽろし","白石区","しろいしく","1972-04-01","札幌市(01201)の札幌市(01100)への政令指定都市施行
中央区(01101)、北区(01102)、東区(01103)、白石区(01104)、豊平区(01105)、南区(01106)、西区(01107)の新設"
"01104","北海道","札幌市","さっぽろし","白石区","しろいしく","1989-11-06","白石区(01104)から分離し、厚別区(01108)を新設"
"01105","北海道","札幌市","さっぽろし","豊平区","とよひらく","1972-04-01","札幌市(01201)の札幌市(01100)への政令指定都市施行
中央区(01101)、北区(01102)、東区(01103)、白石区(01104)、豊平区(01105)、南区(01106)、西区(01107)の新設"
"01105","北海道","札幌市","さっぽろし","豊平区","とよひらく","1997-11-04","豊平区(01105)から分離し、清田区(01110)を新設"
"01106","北海道","札幌市","さっぽろし","南区","みなみく","1972-04-01","札幌市(01201)の札幌市(01100)への政令指定都市施行
中央区(01101)、北区(01102)、東区(01103)、白石区(01104)、豊平区(01105)、南区(01106)、西区(01107)の新設"
"01107","北海道","札幌市","さっぽろし","西区","にしく","1972-04-01","札幌市(01201)の札幌市(01100)への政令指定都市施行
中央区(01101)、北区(01102)、東区(01103)、白石区(01104)、豊平区(01105)、南区(01106)、西区(01107)の新設"
"01107","北海道","札幌市","さっぽろし","西区","にしく","1989-11-06","西区(01107)から分離し、手稲区(01109)を新設"
"01108","北海道","札幌市","さっぽろし","厚別区","あつべつく","1989-11-06","白石区(01104)から分離し、厚別区(01108)を新設"
"01109","北海道","札幌市","さっぽろし","手稲区","ていねく","1989-11-06","西区(01107)から分離し、手稲区(01109)を新設"
"01110","北海道","札幌市","さっぽろし","清田区","きよたく","1997-11-04","豊平区(01105)から分離し、清田区(01110)を新設"
"01201","北海道","","","札幌市","さっぽろし","1972-04-01","札幌市(01201)の札幌市(01100)への政令指定都市施行
中央区(01101)、北区(01102)、東区(01103)、白石区(01104)、豊平区(01105)、南区(01106)、西区(01107)の新設"
"01202","北海道","","","函館市","はこだてし","1973-12-01","亀田市(01232)が函館市(01202)に編入"
"01202","北海道","","","函館市","はこだてし","2000-11-01","函館市(01202)が特例市に移行"
"01202","北海道","","","函館市","はこだてし","2004-12-01","戸井町(01339)、恵山町(01340)、椴法華村(01341)、南茅部町(01342)が函館市(01202)に編入"
"01202","北海道","","","函館市","はこだてし","2005-10-01","函館市(01202)が特例市から中核市に移行"
"01204","北海道","","","旭川市","あさひかわし","1971-03-02","東鷹栖町(01451)が旭川市(01204)に編入"
"01204","北海道","","","旭川市","あさひかわし","2000-04-01","旭川市(01204)が中核市に移行"
"01206","北海道","","","釧路市","くしろし","2005-10-11","釧路市(01206)、阿寒町(01666)、音別町(01669)が合併し、釧路市を新設"
"01208","北海道","","","北見市","きたみし","2006-03-05","北見市(01208)、端野町(01548)、留辺蘂町(01551)、常呂町(01553)が合併し、北見市を新設"
"01210","北海道","","","岩見沢市","いわみざわし","2006-03-27","北村(01421)、栗沢町(01422)が岩見沢市(01210)に編入"
"01220","北海道","","","士別市","しべつし","2005-09-01","士別市(01220)、朝日町(01466)が合併し、士別市を新設"
"01221","北海道","","","名寄市","なよろし","2006-03-27","名寄市(01221)、風連町(01467)が合併し、名寄市を新設"
"01225","北海道","","","滝川市","たきかわし","1971-04-01","滝川市(01225)、江部乙町(01426)が合併し、滝川市を新設"
"01230","北海道","","","登別市","のぼりべつし","1970-08-01","登別町(01577)が登別市(01230)に市制施行"
"01231","北海道","","","恵庭市","えにわし","1970-11-01","恵庭町(01307)が恵庭市(01231)に市制施行"
"01232","北海道","","","亀田市","かめだし","1971-11-01","亀田町(01338)が亀田市(01232)に市制施行"
"01232","北海道","","","亀田市","かめだし","1973-12-01","亀田市(01232)が函館市(01202)に編入"
"01233","北海道","","","伊達市","だてし","1972-04-01","伊達町(01576)が伊達市(01233)に市制施行"
"01233","北海道","","","伊達市","だてし","2006-03-01","大滝村(01574)が伊達市(01233)に編入"
"01234","北海道","","","北広島市","きたひろしまし","1996-09-01","広島町(01301)が広島市に市制施行し、北広島市(01234)に名称変更"
"01235","北海道","","","石狩市","いしかりし","1996-09-01","石狩町(01302)が石狩市(01235)に市制施行"
"01235","北海道","","","石狩市","いしかりし","2005-10-01","厚田村(01305)、浜益村(01306)が石狩市(01235)に編入"
"01236","北海道","","","北斗市","ほくとし","2006-02-01","上磯町(01335)、大野町(01336)が合併し、北斗市(01236)を新設"
"01301","北海道","石狩支庁","いしかりしちょう","広島町","ひろしまちょう","1996-09-01","広島町(01301)が広島市に市制施行し、北広島市(01234)に名称変更"
"01302","北海道","石狩支庁","いしかりしちょう","石狩町","いしかりちょう","1996-09-01","石狩町(01302)が石狩市(01235)に市制施行"
"01305","北海道","石狩支庁","いしかりしちょう","厚田村","あつたむら","2005-10-01","厚田村(01305)、浜益村(01306)が石狩市(01235)に編入"
"01306","北海道","石狩支庁","いしかりしちょう","浜益村","はまますむら","2005-10-01","厚田村(01305)、浜益村(01306)が石狩市(01235)に編入"
"01307","北海道","石狩支庁","いしかりしちょう","恵庭町","えにわちょう","1970-11-01","恵庭町(01307)が恵庭市(01231)に市制施行"
"01335","北海道","渡島支庁","おしましちょう","上磯町","かみいそちょう","2006-02-01","上磯町(01335)、大野町(01336)が合併し、北斗市(01236)を新設"
"01336","北海道","渡島支庁","おしましちょう","大野町","おおのちょう","2006-02-01","上磯町(01335)、大野町(01336)が合併し、北斗市(01236)を新設"
"01338","北海道","渡島支庁","おしましちょう","亀田町","かめだちょう","1971-11-01","亀田町(01338)が亀田市(01232)に市制施行"
"01339","北海道","渡島支庁","おしましちょう","戸井町","といちょう","2004-12-01","戸井町(01339)、恵山町(01340)、椴法華村(01341)、南茅部町(01342)が函館市(01202)に編入"
"01340","北海道","渡島支庁","おしましちょう","恵山町","えさんちょう","1985-04-01","尻岸内町(01340)が恵山町(01340)に名称変更"
"01340","北海道","渡島支庁","おしましちょう","尻岸内町","しりきしないちょう","1985-04-01","尻岸内町(01340)が恵山町(01340)に名称変更"
"01340","北海道","渡島支庁","おしましちょう","恵山町","えさんちょう","2004-12-01","戸井町(01339)、恵山町(01340)、椴法華村(01341)、南茅部町(01342)が函館市(01202)に編入"
"01341","北海道","渡島支庁","おしましちょう","椴法華村","とどほっけむら","2004-12-01","戸井町(01339)、恵山町(01340)、椴法華村(01341)、南茅部町(01342)が函館市(01202)に編入"
"01342","北海道","渡島支庁","おしましちょう","南茅部町","みなみかやべちょう","2004-12-01","戸井町(01339)、恵山町(01340)、椴法華村(01341)、南茅部町(01342)が函館市(01202)に編入"
"01343","北海道","渡島支庁","おしましちょう","鹿部町","しかべちょう","1983-12-01","鹿部村(01343)が鹿部町(01343)に町制施行"
"01343","北海道","渡島支庁","おしましちょう","鹿部村","しかべむら","1983-12-01","鹿部村(01343)が鹿部町(01343)に町制施行"
"01344","北海道","渡島支庁","おしましちょう","砂原町","さわらちょう","1970-09-01","砂原村(01344)が砂原町(01344)に町制施行"
"01344","北海道","渡島支庁","おしましちょう","砂原村","さわらむら","1970-09-01","砂原村(01344)が砂原町(01344)に町制施行"
"01344","北海道","渡島支庁","おしましちょう","砂原町","さわらちょう","2005-04-01","砂原町(01344)、森町(01345)が合併し、森町を新設"
"01345","北海道","渡島支庁","おしましちょう","森町","もりまち","2005-04-01","砂原町(01344)、森町(01345)が合併し、森町を新設"
"01346","北海道","渡島支庁","おしましちょう","八雲町","やくもちょう","2005-10-01","八雲町(01346)、熊石町(01365)が合併し、八雲町を新設"
"01365","北海道","檜山支庁","ひやましちょう","熊石町","くまいしちょう","2005-10-01","八雲町(01346)、熊石町(01365)が合併し、八雲町を新設"
"01366","北海道","檜山支庁","ひやましちょう","大成町","たいせいちょう","2005-09-01","大成町(01366)、瀬棚町(01368)、北檜山町(01369)が合併し、せたな町(01371)を新設"
"01368","北海道","檜山支庁","ひやましちょう","瀬棚町","せたなちょう","2005-09-01","大成町(01366)、瀬棚町(01368)、北檜山町(01369)が合併し、せたな町(01371)を新設"
"01369","北海道","檜山支庁","ひやましちょう","北檜山町","きたひやまちょう","2005-09-01","大成町(01366)、瀬棚町(01368)、北檜山町(01369)が合併し、せたな町(01371)を新設"
"01371","北海道","檜山支庁","ひやましちょう","せたな町","せたなちょう","2005-09-01","大成町(01366)、瀬棚町(01368)、北檜山町(01369)が合併し、せたな町(01371)を新設"
"01401","北海道","後志支庁","しりべししちょう","共和町","きょうわちょう","1971-04-01","共和村(01401)が共和町(01401)に町制施行"
"01401","北海道","後志支庁","しりべししちょう","共和村","きょうわむら","1971-04-01","共和村(01401)が共和町(01401)に町制施行"
"01421","北海道","空知支庁","そらちしちょう","北村","きたむら","2006-03-27","北村(01421)、栗沢町(01422)が岩見沢市(01210)に編入"
"01422","北海道","空知支庁","そらちしちょう","栗沢町","くりさわちょう","2006-03-27","北村(01421)、栗沢町(01422)が岩見沢市(01210)に編入"
"01426","北海道","空知支庁","そらちしちょう","江部乙町","えべおつちょう","1971-04-01","滝川市(01225)、江部乙町(01426)が合併し、滝川市を新設"
"01439","北海道","空知支庁","そらちしちょう","幌加内町","ほろかないちょう","2010-04-01","空知支庁幌加内町(01439)が上川支庁幌加内町(01472)に区域変更"
"01451","北海道","上川支庁","かみかわしちょう","東鷹栖町","ひがしたかすちょう","1971-03-02","東鷹栖町(01451)が旭川市(01204)に編入"
"01466","北海道","上川支庁","かみかわしちょう","朝日町","あさひちょう","2005-09-01","士別市(01220)、朝日町(01466)が合併し、士別市を新設"
"01467","北海道","上川支庁","かみかわしちょう","風連町","ふうれんちょう","2006-03-27","名寄市(01221)、風連町(01467)が合併し、名寄市を新設"
"01472","北海道","上川支庁","かみかわしちょう","幌加内町","ほろかないちょう","2010-04-01","空知支庁幌加内町(01439)が上川支庁幌加内町(01472)に区域変更"
"01488","北海道","留萌支庁","るもいしちょう","幌延町","ほろのべちょう","2010-04-01","留萌支庁幌延町(01488)が宗谷支庁幌延町(01520)に区域変更"
"01514","北海道","宗谷支庁","そうやしちょう","枝幸町","えさしちょう","2006-03-20","枝幸町(01514)、歌登町(01515)が合併し、枝幸町を新設"
"01515","北海道","宗谷支庁","そうやしちょう","歌登町","うたのぼりちょう","2006-03-20","枝幸町(01514)、歌登町(01515)が合併し、枝幸町を新設"
"01519","北海道","宗谷支庁","そうやしちょう","東利尻町","ひがしりしりちょう","1990-09-30","東利尻町(01519)が利尻富士町(01519)に名称変更"
"01519","北海道","宗谷支庁","そうやしちょう","利尻富士町","りしりふじちょう","1990-09-30","東利尻町(01519)が利尻富士町(01519)に名称変更"
"01520","北海道","宗谷支庁","そうやしちょう","幌延町","ほろのべちょう","2010-04-01","留萌支庁幌延町(01488)が宗谷支庁幌延町(01520)に区域変更"
"01541","北海道","網走支庁","あばしりしちょう","東藻琴村","ひがしもことむら","2006-03-31","東藻琴村(01541)、女満別町(01542)が合併し、大空町(01564)を新設"
"01542","北海道","網走支庁","あばしりしちょう","女満別町","めまんべつちょう","2006-03-31","東藻琴村(01541)、女満別町(01542)が合併し、大空町(01564)を新設"
"01548","北海道","網走支庁","あばしりしちょう","端野町","たんのちょう","2006-03-05","北見市(01208)、端野町(01548)、留辺蘂町(01551)、常呂町(01553)が合併し、北見市を新設"
"01551","北海道","網走支庁","あばしりしちょう","留辺蘂町","るべしべちょう","2006-03-05","北見市(01208)、端野町(01548)、留辺蘂町(01551)、常呂町(01553)が合併し、北見市を新設"
"01553","北海道","網走支庁","あばしりしちょう","常呂町","ところちょう","2006-03-05","北見市(01208)、端野町(01548)、留辺蘂町(01551)、常呂町(01553)が合併し、北見市を新設"
"01554","北海道","網走支庁","あばしりしちょう","生田原町","いくたはらちょう","2005-10-01","生田原町(01554)、遠軽町(01555)、丸瀬布町(01556)、白滝村(01557)が合併し、遠軽町を新設"
"01555","北海道","網走支庁","あばしりしちょう","遠軽町","えんがるちょう","2005-10-01","生田原町(01554)、遠軽町(01555)、丸瀬布町(01556)、白滝村(01557)が合併し、遠軽町を新設"
"01556","北海道","網走支庁","あばしりしちょう","丸瀬布町","まるせっぷちょう","2005-10-01","生田原町(01554)、遠軽町(01555)、丸瀬布町(01556)、白滝村(01557)が合併し、遠軽町を新設"
"01557","北海道","網走支庁","あばしりしちょう","白滝村","しらたきむら","2005-10-01","生田原町(01554)、遠軽町(01555)、丸瀬布町(01556)、白滝村(01557)が合併し、遠軽町を新設"
"01558","北海道","網走支庁","あばしりしちょう","上湧別町","かみゆうべつちょう","2009-10-05","上湧別町(01558)、湧別町(01559)が合併し、湧別町を新設"
"01559","北海道","網走支庁","あばしりしちょう","湧別町","ゆうべつちょう","2009-10-05","上湧別町(01558)、湧別町(01559)が合併し、湧別町を新設"
"01564","北海道","網走支庁","あばしりしちょう","大空町","おおぞらちょう","2006-03-31","東藻琴村(01541)、女満別町(01542)が合併し、大空町(01564)を新設"
"01572","北海道","胆振支庁","いぶりしちょう","虻田町","あぶたちょう","2006-03-27","虻田町(01572)、洞爺村(01573)が合併し、洞爺湖町(01584)を新設"
"01573","北海道","胆振支庁","いぶりしちょう","洞爺村","とうやむら","2006-03-27","虻田町(01572)、洞爺村(01573)が合併し、洞爺湖町(01584)を新設"
"01574","北海道","胆振支庁","いぶりしちょう","大滝村","おおたきむら","2006-03-01","大滝村(01574)が伊達市(01233)に編入"
"01576","北海道","胆振支庁","いぶりしちょう","伊達町","だてちょう","1972-04-01","伊達町(01576)が伊達市(01233)に市制施行"
"01577","北海道","胆振支庁","いぶりしちょう","登別町","のぼりべつちょう","1970-08-01","登別町(01577)が登別市(01230)に市制施行"
"01579","北海道","胆振支庁","いぶりしちょう","早来町","はやきたちょう","2006-03-27","早来町(01579)、追分町(01580)が合併し、安平町(01585)を新設"
"01580","北海道","胆振支庁","いぶりしちょう","追分町","おいわけちょう","2006-03-27","早来町(01579)、追分町(01580)が合併し、安平町(01585)を新設"
"01582","北海道","胆振支庁","いぶりしちょう","鵡川町","むかわちょう","2006-03-27","鵡川町(01582)、穂別町(01583)が合併し、むかわ町(01586)を新設"
"01583","北海道","胆振支庁","いぶりしちょう","穂別町","ほべつちょう","2006-03-27","鵡川町(01582)、穂別町(01583)が合併し、むかわ町(01586)を新設"
"01584","北海道","胆振支庁","いぶりしちょう","洞爺湖町","とうやこちょう","2006-03-27","虻田町(01572)、洞爺村(01573)が合併し、洞爺湖町(01584)を新設"
"01585","北海道","胆振支庁","いぶりしちょう","安平町","あびらちょう","2006-03-27","早来町(01579)、追分町(01580)が合併し、安平町(01585)を新設"
"01586","北海道","胆振支庁","いぶりしちょう","むかわ町","むかわちょう","2006-03-27","鵡川町(01582)、穂別町(01583)が合併し、むかわ町(01586)を新設"
"01601","北海道","日高支庁","ひだかしちょう","日高町","ひだかちょう","2006-03-01","日高町(01601)、門別町(01603)が合併し、日高町を新設"
"01603","北海道","日高支庁","ひだかしちょう","門別町","もんべつちょう","2006-03-01","日高町(01601)、門別町(01603)が合併し、日高町を新設"
"01605","北海道","日高支庁","ひだかしちょう","静内町","しずないちょう","2006-03-31","静内町(01605)、三石町(01606)が合併し、新ひだか町(01610)を新設"
"01606","北海道","日高支庁","ひだかしちょう","三石町","みついしちょう","2006-03-31","静内町(01605)、三石町(01606)が合併し、新ひだか町(01610)を新設"
"01609","北海道","日高支庁","ひだかしちょう","えりも町","えりもちょう","1970-10-01","幌泉町(01609)がえりも町(01609)に名称変更"
"01609","北海道","日高支庁","ひだかしちょう","幌泉町","ほろいずみちょう","1970-10-01","幌泉町(01609)がえりも町(01609)に名称変更"
"01610","北海道","日高支庁","ひだかしちょう","新ひだか町","しんひだかちょう","2006-03-31","静内町(01605)、三石町(01606)が合併し、新ひだか町(01610)を新設"
"01640","北海道","十勝支庁","とかちしちょう","忠類村","ちゅうるいむら","2006-02-06","忠類村(01640)が幕別町(01643)に編入"
"01643","北海道","十勝支庁","とかちしちょう","幕別町","まくべつちょう","2006-02-06","忠類村(01640)が幕別町(01643)に編入"
"01661","北海道","釧路支庁","くしろしちょう","釧路村","くしろむら","1980-04-01","釧路村(01661)が釧路町(01661)に町制施行"
"01661","北海道","釧路支庁","くしろしちょう","釧路町","くしろちょう","1980-04-01","釧路村(01661)が釧路町(01661)に町制施行"
"01666","北海道","釧路支庁","くしろしちょう","阿寒町","あかんちょう","2005-10-11","釧路市(01206)、阿寒町(01666)、音別町(01669)が合併し、釧路市を新設"
"01669","北海道","釧路支庁","くしろしちょう","音別町","おんべつちょう","2005-10-11","釧路市(01206)、阿寒町(01666)、音別町(01669)が合併し、釧路市を新設"
"01691","北海道","根室支庁","ねむろしちょう","別海村","べっかいむら","1971-04-01","別海村(01691)が別海町(01691)に町制施行"
"01691","北海道","根室支庁","ねむろしちょう","別海町","べつかいちょう","1971-04-01","別海村(01691)が別海町(01691)に町制施行"
"02201","青森県","","","青森市","あおもりし","2005-04-01","青森市(02201)、浪岡町(02364)が合併し、青森市を新設"
"02201","青森県","","","青森市","あおもりし","2006-10-01","青森市(02201)が中核市に移行"
"02202","青森県","","","弘前市","ひろさきし","2006-02-27","弘前市(02202)、岩木町(02341)、相馬村(02342)が合併し、弘前市を新設"
"02203","青森県","","","八戸市","はちのへし","2001-04-01","八戸市(02203)が特例市に移行"
"02203","青森県","","","八戸市","はちのへし","2005-03-31","南郷村(02448)が八戸市(02203)に編入"
"02203","青森県","","","八戸市","はちのへし","2017-01-01","八戸市(02203)が特例市から中核市に移行"
"02205","青森県","","","五所川原市","ごしょがわらし","2005-03-28","五所川原市(02205)、金木町(02382)、市浦村(02385)が合併し、五所川原市を新設"
"02206","青森県","","","十和田市","とわだし","2005-01-01","十和田市(02206)、十和田湖町(02404)が合併し、十和田市を新設"
"02208","青森県","","","むつ市","むつし","2005-03-14","川内町(02421)、大畑町(02422)、脇野沢村(02427)がむつ市(02208)に編入"
"02209","青森県","","","つがる市","つがるし","2005-02-11","木造町(02322)、森田村(02324)、柏村(02326)、稲垣村(02327)、車力村(02328)が合併し、つがる市(02209)を新設"
"02210","青森県","","","平川市","ひらかわし","2006-01-01","尾上町(02363)、平賀町(02365)、碇ケ関村(02368)が合併し、平川市(02210)を新設"
"02302","青森県","東津軽郡","ひがしつがるぐん","蟹田町","かにたまち","2005-03-28","蟹田町(02302)、平舘村(02305)、三厩村(02306)が合併し、外ヶ浜町(02307)を新設"
"02305","青森県","東津軽郡","ひがしつがるぐん","平舘村","たいらだてむら","2005-03-28","蟹田町(02302)、平舘村(02305)、三厩村(02306)が合併し、外ヶ浜町(02307)を新設"
"02306","青森県","東津軽郡","ひがしつがるぐん","三厩村","みんまやむら","2005-03-28","蟹田町(02302)、平舘村(02305)、三厩村(02306)が合併し、外ヶ浜町(02307)を新設"
"02307","青森県","東津軽郡","ひがしつがるぐん","外ヶ浜町","そとがはままち","2005-03-28","蟹田町(02302)、平舘村(02305)、三厩村(02306)が合併し、外ヶ浜町(02307)を新設"
"02322","青森県","西津軽郡","にしつがるぐん","木造町","きづくりまち","2005-02-11","木造町(02322)、森田村(02324)、柏村(02326)、稲垣村(02327)、車力村(02328)が合併し、つがる市(02209)を新設"
"02323","青森県","西津軽郡","にしつがるぐん","深浦町","ふかうらまち","2005-03-31","深浦町(02323)、岩崎村(02325)が合併し、深浦町を新設"
"02324","青森県","西津軽郡","にしつがるぐん","森田村","もりたむら","2005-02-11","木造町(02322)、森田村(02324)、柏村(02326)、稲垣村(02327)、車力村(02328)が合併し、つがる市(02209)を新設"
"02325","青森県","西津軽郡","にしつがるぐん","岩崎村","いわさきむら","2005-03-31","深浦町(02323)、岩崎村(02325)が合併し、深浦町を新設"
"02326","青森県","西津軽郡","にしつがるぐん","柏村","かしわむら","2005-02-11","木造町(02322)、森田村(02324)、柏村(02326)、稲垣村(02327)、車力村(02328)が合併し、つがる市(02209)を新設"
"02327","青森県","西津軽郡","にしつがるぐん","稲垣村","いながきむら","2005-02-11","木造町(02322)、森田村(02324)、柏村(02326)、稲垣村(02327)、車力村(02328)が合併し、つがる市(02209)を新設"
"02328","青森県","西津軽郡","にしつがるぐん","車力村","しゃりきむら","2005-02-11","木造町(02322)、森田村(02324)、柏村(02326)、稲垣村(02327)、車力村(02328)が合併し、つがる市(02209)を新設"
"02341","青森県","中津軽郡","なかつがるぐん","岩木町","いわきまち","2006-02-27","弘前市(02202)、岩木町(02341)、相馬村(02342)が合併し、弘前市を新設"
"02342","青森県","中津軽郡","なかつがるぐん","相馬村","そうまむら","2006-02-27","弘前市(02202)、岩木町(02341)、相馬村(02342)が合併し、弘前市を新設"
"02361","青森県","南津軽郡","みなみつがるぐん","藤崎町","ふじさきまち","2005-03-28","藤崎町(02361)、常盤村(02366)が合併し、藤崎町を新設"
"02363","青森県","南津軽郡","みなみつがるぐん","尾上町","おのえまち","2006-01-01","尾上町(02363)、平賀町(02365)、碇ケ関村(02368)が合併し、平川市(02210)を新設"
"02364","青森県","南津軽郡","みなみつがるぐん","浪岡町","なみおかまち","2005-04-01","青森市(02201)、浪岡町(02364)が合併し、青森市を新設"
"02365","青森県","南津軽郡","みなみつがるぐん","平賀町","ひらかまち","2006-01-01","尾上町(02363)、平賀町(02365)、碇ケ関村(02368)が合併し、平川市(02210)を新設"
"02366","青森県","南津軽郡","みなみつがるぐん","常盤村","ときわむら","2005-03-28","藤崎町(02361)、常盤村(02366)が合併し、藤崎町を新設"
"02368","青森県","南津軽郡","みなみつがるぐん","碇ケ関村","いかりがせきむら","2006-01-01","尾上町(02363)、平賀町(02365)、碇ケ関村(02368)が合併し、平川市(02210)を新設"
"02382","青森県","北津軽郡","きたつがるぐん","金木町","かなぎまち","2005-03-28","五所川原市(02205)、金木町(02382)、市浦村(02385)が合併し、五所川原市を新設"
"02383","青森県","北津軽郡","きたつがるぐん","中里町","なかさとまち","2005-03-28","中里町(02383)、小泊村(02386)が合併し、中泊町(02387)を新設"
"02385","青森県","北津軽郡","きたつがるぐん","市浦村","しうらむら","2005-03-28","五所川原市(02205)、金木町(02382)、市浦村(02385)が合併し、五所川原市を新設"
"02386","青森県","北津軽郡","きたつがるぐん","小泊村","こどまりむら","2005-03-28","中里町(02383)、小泊村(02386)が合併し、中泊町(02387)を新設"
"02387","青森県","北津軽郡","きたつがるぐん","中泊町","なかどまりまち","2005-03-28","中里町(02383)、小泊村(02386)が合併し、中泊町(02387)を新設"
"02402","青森県","上北郡","かみきたぐん","七戸町","しちのへまち","2005-03-31","七戸町(02402)、天間林村(02409)が合併し、七戸町を新設"
"02403","青森県","上北郡","かみきたぐん","百石町","ももいしまち","2006-03-01","百石町(02403)、下田町(02410)が合併し、おいらせ町(02412)を新設"
"02404","青森県","上北郡","かみきたぐん","十和田湖町","とわだこまち","1975-04-01","十和田町(02404)が十和田湖町(02404)に名称変更"
"02404","青森県","上北郡","かみきたぐん","十和田町","とわだまち","1975-04-01","十和田町(02404)が十和田湖町(02404)に名称変更"
"02404","青森県","上北郡","かみきたぐん","十和田湖町","とわだこまち","2005-01-01","十和田市(02206)、十和田湖町(02404)が合併し、十和田市を新設"
"02407","青森県","上北郡","かみきたぐん","上北町","かみきたまち","2005-03-31","上北町(02407)、東北町(02408)が合併し、東北町を新設"
"02408","青森県","上北郡","かみきたぐん","東北町","とうほくまち","2005-03-31","上北町(02407)、東北町(02408)が合併し、東北町を新設"
"02409","青森県","上北郡","かみきたぐん","天間林村","てんまばやしむら","2005-03-31","七戸町(02402)、天間林村(02409)が合併し、七戸町を新設"
"02410","青森県","上北郡","かみきたぐん","下田町","しもだまち","2006-03-01","百石町(02403)、下田町(02410)が合併し、おいらせ町(02412)を新設"
"02412","青森県","上北郡","かみきたぐん","おいらせ町","おいらせちょう","2006-03-01","百石町(02403)、下田町(02410)が合併し、おいらせ町(02412)を新設"
"02421","青森県","下北郡","しもきたぐん","川内町","かわうちまち","2005-03-14","川内町(02421)、大畑町(02422)、脇野沢村(02427)がむつ市(02208)に編入"
"02422","青森県","下北郡","しもきたぐん","大畑町","おおはたまち","2005-03-14","川内町(02421)、大畑町(02422)、脇野沢村(02427)がむつ市(02208)に編入"
"02427","青森県","下北郡","しもきたぐん","脇野沢村","わきのさわむら","2005-03-14","川内町(02421)、大畑町(02422)、脇野沢村(02427)がむつ市(02208)に編入"
"02442","青森県","三戸郡","さんのへぐん","五戸町","ごのへまち","2004-07-01","倉石村(02449)が五戸町(02442)に編入"
"02444","青森県","三戸郡","さんのへぐん","名川町","ながわまち","2006-01-01","名川町(02444)、南部町(02445)、福地村(02447)が合併し、南部町を新設"
"02445","青森県","三戸郡","さんのへぐん","南部町","なんぶちょう","2006-01-01","名川町(02444)、南部町(02445)、福地村(02447)が合併し、南部町を新設"
"02446","青森県","三戸郡","さんのへぐん","階上村","はしかみむら","1980-05-01","階上村(02446)が階上町(02446)に町制施行"
"02446","青森県","三戸郡","さんのへぐん","階上町","はしかみちょう","1980-05-01","階上村(02446)が階上町(02446)に町制施行"
"02447","青森県","三戸郡","さんのへぐん","福地村","ふくちむら","2006-01-01","名川町(02444)、南部町(02445)、福地村(02447)が合併し、南部町を新設"
"02448","青森県","三戸郡","さんのへぐん","南郷村","なんごうむら","2005-03-31","南郷村(02448)が八戸市(02203)に編入"
"02449","青森県","三戸郡","さんのへぐん","倉石村","くらいしむら","2004-07-01","倉石村(02449)が五戸町(02442)に編入"
"03201","岩手県","","","盛岡市","もりおかし","1992-04-01","都南村(03323)が盛岡市(03201)に編入"
"03201","岩手県","","","盛岡市","もりおかし","2000-11-01","盛岡市(03201)が特例市に移行"
"03201","岩手県","","","盛岡市","もりおかし","2006-01-10","玉山村(03307)が盛岡市(03201)に編入"
"03201","岩手県","","","盛岡市","もりおかし","2008-04-01","盛岡市(03201)が特例市から中核市に移行"
"03202","岩手県","","","宮古市","みやこし","2005-06-06","宮古市(03202)、田老町(03481)、新里村(03486)が合併し、宮古市を新設"
"03202","岩手県","","","宮古市","みやこし","2010-01-01","川井村(03487)が宮古市(03202)に編入"
"03203","岩手県","","","大船渡市","おおふなとし","2001-11-15","三陸町(03442)が大船渡市(03203)に編入"
"03204","岩手県","","","水沢市","みずさわし","2006-02-20","水沢市(03204)、江刺市(03212)、前沢町(03382)、胆沢町(03383)、衣川村(03384)が合併し、奥州市(03215)を新設"
"03205","岩手県","","","花巻市","はなまきし","2006-01-01","花巻市(03205)、大迫町(03341)、石鳥谷町(03342)、東和町(03361)が合併し、花巻市を新設
稗貫郡(03340)の廃止"
"03206","岩手県","","","北上市","きたかみし","1991-04-01","北上市(03206)、和賀町(03362)、江釣子村(03364)が合併し、北上市を新設"
"03207","岩手県","","","久慈市","くじし","2006-03-06","久慈市(03207)、山形村(03504)が合併し、久慈市を新設"
"03208","岩手県","","","遠野市","とおのし","2005-10-01","遠野市(03208)、宮守村(03462)が合併し、遠野市を新設"
