"標準地域コード","都道府県","政令市･郡･支庁･振興局等","政令市･郡･支庁･振興局等（ふりがな）","市区町村","市区町村（ふりがな）","廃置分合等施行年月日","改正事由"
"24403","三重県","一志郡","いちしぐん","一志町","いちしちょう","2006-01-01","津市(24201)、久居市(24213)、河芸町(24381)、芸濃町(24382)、美里村(24383)、安濃町(24384)、香良洲町(24402)、一志町(24403)、白山町(24404)、美杉村(24406)が合併し、津市を新設
安芸郡(24380)の廃止
一志郡(24400)の廃止"
"24404","三重県","一志郡","いちしぐん","白山町","はくさんちょう","2006-01-01","津市(24201)、久居市(24213)、河芸町(24381)、芸濃町(24382)、美里村(24383)、安濃町(24384)、香良洲町(24402)、一志町(24403)、白山町(24404)、美杉村(24406)が合併し、津市を新設
安芸郡(24380)の廃止
一志郡(24400)の廃止"
"24405","三重県","一志郡","いちしぐん","嬉野町","うれしのちょう","2005-01-01","松阪市(24204)、嬉野町(24405)、三雲町(24407)、飯南町(24421)、飯高町(24422)が合併し、松阪市を新設
飯南郡(24420)の廃止"
"24406","三重県","一志郡","いちしぐん","美杉村","みすぎむら","2006-01-01","津市(24201)、久居市(24213)、河芸町(24381)、芸濃町(24382)、美里村(24383)、安濃町(24384)、香良洲町(24402)、一志町(24403)、白山町(24404)、美杉村(24406)が合併し、津市を新設
安芸郡(24380)の廃止
一志郡(24400)の廃止"
"24407","三重県","一志郡","いちしぐん","三雲町","みくもちょう","1986-04-01","三雲村(24407)が三雲町(24407)に町制施行"
"24407","三重県","一志郡","いちしぐん","三雲村","みくもむら","1986-04-01","三雲村(24407)が三雲町(24407)に町制施行"
"24407","三重県","一志郡","いちしぐん","三雲町","みくもちょう","2005-01-01","松阪市(24204)、嬉野町(24405)、三雲町(24407)、飯南町(24421)、飯高町(24422)が合併し、松阪市を新設
飯南郡(24420)の廃止"
"24421","三重県","飯南郡","いいなんぐん","飯南町","いいなんちょう","2005-01-01","松阪市(24204)、嬉野町(24405)、三雲町(24407)、飯南町(24421)、飯高町(24422)が合併し、松阪市を新設
飯南郡(24420)の廃止"
"24422","三重県","飯南郡","いいなんぐん","飯高町","いいたかちょう","2005-01-01","松阪市(24204)、嬉野町(24405)、三雲町(24407)、飯南町(24421)、飯高町(24422)が合併し、松阪市を新設
飯南郡(24420)の廃止"
"24441","三重県","多気郡","たきぐん","多気町","たきちょう","2006-01-01","多気町(24441)、勢和村(24444)が合併し、多気町を新設"
"24443","三重県","多気郡","たきぐん","大台町","おおだいちょう","2006-01-10","大台町(24443)、宮川村(24445)が合併し、大台町を新設"
"24444","三重県","多気郡","たきぐん","勢和村","せいわむら","2006-01-01","多気町(24441)、勢和村(24444)が合併し、多気町を新設"
"24445","三重県","多気郡","たきぐん","宮川村","みやがわむら","2006-01-10","大台町(24443)、宮川村(24445)が合併し、大台町を新設"
"24462","三重県","度会郡","わたらいぐん","二見町","ふたみちょう","2005-11-01","伊勢市(24203)、二見町(24462)、小俣町(24463)、御薗村(24468)が合併し、伊勢市を新設"
"24463","三重県","度会郡","わたらいぐん","小俣町","おばたちょう","2005-11-01","伊勢市(24203)、二見町(24462)、小俣町(24463)、御薗村(24468)が合併し、伊勢市を新設"
"24464","三重県","度会郡","わたらいぐん","南勢町","なんせいちょう","2005-10-01","南勢町(24464)、南島町(24465)が合併し、南伊勢町(24472)を新設"
"24465","三重県","度会郡","わたらいぐん","南島町","なんとうちょう","2005-10-01","南勢町(24464)、南島町(24465)が合併し、南伊勢町(24472)を新設"
"24466","三重県","度会郡","わたらいぐん","大宮町","おおみやちょう","2005-02-14","大宮町(24466)、紀勢町(24467)、大内山村(24469)が合併し、大紀町(24471)を新設"
"24467","三重県","度会郡","わたらいぐん","紀勢町","きせいちょう","2005-02-14","大宮町(24466)、紀勢町(24467)、大内山村(24469)が合併し、大紀町(24471)を新設"
"24468","三重県","度会郡","わたらいぐん","御薗村","みそのむら","2005-11-01","伊勢市(24203)、二見町(24462)、小俣町(24463)、御薗村(24468)が合併し、伊勢市を新設"
"24469","三重県","度会郡","わたらいぐん","大内山村","おおうちやまむら","2005-02-14","大宮町(24466)、紀勢町(24467)、大内山村(24469)が合併し、大紀町(24471)を新設"
"24471","三重県","度会郡","わたらいぐん","大紀町","たいきちょう","2005-02-14","大宮町(24466)、紀勢町(24467)、大内山村(24469)が合併し、大紀町(24471)を新設"
"24472","三重県","度会郡","わたらいぐん","南伊勢町","みなみいせちょう","2005-10-01","南勢町(24464)、南島町(24465)が合併し、南伊勢町(24472)を新設"
"24481","三重県","阿山郡","あやまぐん","伊賀町","いがちょう","2004-11-01","上野市(24206)、伊賀町(24481)、島ヶ原村(24482)、阿山町(24483)、大山田村(24484)、青山町(24501)が合併し、伊賀市(24216)を新設
阿山郡(24480)の廃止
名賀郡(24500)の廃止"
"24482","三重県","阿山郡","あやまぐん","島ヶ原村","しまがはらむら","2004-11-01","上野市(24206)、伊賀町(24481)、島ヶ原村(24482)、阿山町(24483)、大山田村(24484)、青山町(24501)が合併し、伊賀市(24216)を新設
阿山郡(24480)の廃止
名賀郡(24500)の廃止"
"24483","三重県","阿山郡","あやまぐん","阿山町","あやまちょう","2004-11-01","上野市(24206)、伊賀町(24481)、島ヶ原村(24482)、阿山町(24483)、大山田村(24484)、青山町(24501)が合併し、伊賀市(24216)を新設
阿山郡(24480)の廃止
名賀郡(24500)の廃止"
"24484","三重県","阿山郡","あやまぐん","大山田村","おおやまだむら","2004-11-01","上野市(24206)、伊賀町(24481)、島ヶ原村(24482)、阿山町(24483)、大山田村(24484)、青山町(24501)が合併し、伊賀市(24216)を新設
阿山郡(24480)の廃止
名賀郡(24500)の廃止"
"24501","三重県","名賀郡","ながぐん","青山町","あおやまちょう","2004-11-01","上野市(24206)、伊賀町(24481)、島ヶ原村(24482)、阿山町(24483)、大山田村(24484)、青山町(24501)が合併し、伊賀市(24216)を新設
阿山郡(24480)の廃止
名賀郡(24500)の廃止"
"24521","三重県","志摩郡","しまぐん","浜島町","はまじまちょう","2004-10-01","浜島町(24521)、大王町(24522)、志摩町(24523)、阿児町(24524)、磯部町(24525)が合併し、志摩市(24215)を新設
志摩郡(24520)の廃止"
"24522","三重県","志摩郡","しまぐん","大王町","だいおうちょう","2004-10-01","浜島町(24521)、大王町(24522)、志摩町(24523)、阿児町(24524)、磯部町(24525)が合併し、志摩市(24215)を新設
志摩郡(24520)の廃止"
"24523","三重県","志摩郡","しまぐん","志摩町","しまちょう","2004-10-01","浜島町(24521)、大王町(24522)、志摩町(24523)、阿児町(24524)、磯部町(24525)が合併し、志摩市(24215)を新設
志摩郡(24520)の廃止"
"24524","三重県","志摩郡","しまぐん","阿児町","あごちょう","2004-10-01","浜島町(24521)、大王町(24522)、志摩町(24523)、阿児町(24524)、磯部町(24525)が合併し、志摩市(24215)を新設
志摩郡(24520)の廃止"
